Index,Mkt.RF,SMB,HML,RF,RFJ,JPY.r,Mkt.RFJ,SMBJ,HMLJ
31/1/2004,0.0198,0.0481,0.0024,0.0007,1.41656E-05,0.0107603,0.009621848,0.047587939,0.00237445
29/2/2004,-0.0008,-0.0087,0.0231,0.0006,1.49988E-05,-0.032554105,0.033427806,-0.008992751,0.023877304
31/3/2004,0.1503,0.074,0.0352,0.0009,1.66651E-05,0.033991125,0.11333912,0.071567345,0.034042845
30/4/2004,-0.0454,0.0796,-0.0381,0.0008,1.66651E-05,-0.036875369,-0.00803705,0.082647663,-0.039558743
31/5/2004,-0.0335,-0.0337,0.0025,0.0006,1.5832E-05,-0.003849986,-0.02917812,-0.033830246,0.002509662
30/6/2004,0.0539,0.0592,-0.0114,0.0008,3.58263E-05,0.018217036,0.035794417,0.058140846,-0.011196041
31/7/2004,-0.0678,-0.0131,0.0465,0.001,4.16571E-05,-0.032613545,-0.035380642,-0.013541641,0.048067657
31/8/2004,0.0099,0.0032,-0.0111,0.0011,2.33303E-05,0.017199909,-0.006118405,0.003145891,-0.010912309
30/9/2004,-0.0318,-0.0144,0.0318,0.0011,2.49966E-05,-0.008727338,-0.02219111,-0.01452678,0.032079973
31/10/2004,0.0238,-0.0029,0.0041,0.0011,1.41656E-05,0.048290498,-0.022327158,-0.002766409,0.00391113
30/11/2004,0.0381,-0.0072,-0.004,0.0015,5.83315E-06,0.029019265,0.010276515,-0.006996954,-0.003887196
31/12/2004,0.0503,-0.0114,0.0091,0.0016,5.83315E-06,-0.008229859,0.060622992,-0.011494599,0.009175513
31/1/2005,-0.012,0.0649,0.0054,0.0016,4.99986E-06,0.002508926,-0.012881619,0.064737578,0.005386486
28/2/2005,0.0171,0.0159,0.0228,0.0016,5.83315E-06,-0.011541396,0.030588667,0.016085651,0.023066216
31/3/2005,-0.0151,0.0138,0.0344,0.0021,8.33295E-06,-0.024290368,0.011563109,0.014143552,0.035256391
30/4/2005,-0.0217,0.026,0.0047,0.0021,5.83315E-06,0.01305803,-0.032242911,0.025664867,0.004639418
31/5/2005,-0.0261,-0.0209,0.0024,0.0024,5.83315E-06,-0.017006487,-0.006815148,-0.021261585,0.002441522
30/6/2005,0.0073,0.0194,-0.0035,0.0023,7.49969E-06,-0.023043144,0.033405587,0.019857581,-0.003582553
31/7/2005,0.0066,0.0158,-0.0104,0.0024,1.24991E-05,-0.016693376,0.026117068,0.016068233,-0.010576558
31/8/2005,0.0667,-0.0375,-0.007,0.003,2.41635E-05,0.007806191,0.061390233,-0.037209535,-0.00694578
30/9/2005,0.0793,-0.0644,0.0315,0.0029,3.66593E-05,-0.016458545,0.100272834,-0.065477667,0.03202712
31/10/2005,-0.0035,0.022,0.0115,0.0027,8.9123E-05,-0.020994427,0.020538367,0.022471782,0.011746613
30/11/2005,0.0293,0.0002,-0.0215,0.0031,6.66422E-05,-0.033525384,0.068145583,0.000206938,-0.022245799
31/12/2005,0.0945,0.047,-0.0614,0.0032,7.49691E-05,0.016336403,0.079980805,0.046244531,-0.060413068
31/1/2006,0.0354,-0.0025,0.0244,0.0035,7.99648E-05,0.001657599,0.037100805,-0.002495863,0.024359622
28/2/2006,-0.0258,-0.0504,0.0374,0.0034,0.000150708,0.012392427,-0.03451725,-0.049783067,0.036942197
31/3/2006,0.0267,0.0036,-0.0109,0.0037,0.000250488,-0.00891296,0.039416018,0.003632375,-0.010998025
30/4/2006,0.0209,-0.0123,0.0139,0.0036,0.000252981,0.026978496,-0.002666368,-0.011976882,0.01353485
31/5/2006,-0.074,-0.0284,0.027,0.0043,0.000462986,0.016878953,-0.085604833,-0.027928595,0.026551833
30/6/2006,-0.0177,-0.0158,-0.0047,0.004,0.000483711,-0.025137846,0.011249072,-0.01620742,-0.004821194
31/7/2006,-0.022,-0.0596,0.0526,0.004,0.00047708,0.004316735,-0.022697893,-0.059343828,0.052373916
31/8/2006,0.0131,0.0072,-0.0177,0.0042,0.000354309,-0.021795692,0.039612487,0.007360426,-0.01809438
30/9/2006,-0.0207,-0.0139,0.0053,0.0041,0.000339366,-0.004585403,-0.012409308,-0.013964031,0.005324415
31/10/2006,0.0125,-0.0235,-0.011,0.0041,0.000455524,0.001105113,0.015022258,-0.023474059,-0.010987857
30/11/2006,-0.0045,-0.0197,0.0215,0.0042,0.000514376,0.010306179,-0.011012361,-0.019499039,0.021280678
31/12/2006,0.0142,-0.0199,0.0122,0.004,0.000506918,-0.020814061,0.039336446,-0.020323004,0.012459329
31/1/2007,0.004,0.0049,0.0022,0.0044,0.000450549,-0.022925226,0.031609665,0.005014969,0.002251619
28/2/2007,0.0346,-0.012,0.0275,0.0038,0.000565736,0.030526271,0.007074757,-0.011644536,0.026685394
31/3/2007,-0.017,0.0014,0.0267,0.0043,0.000522662,-8.46704E-05,-0.013139059,0.001400119,0.026702261
30/4/2007,-0.0275,-0.0153,0.0247,0.0044,0.000558283,-0.012086993,-0.011706032,-0.015487194,0.025002201
31/5/2007,0.0037,-0.0366,0.0016,0.0041,0.000637758,-0.016575495,0.024148582,-0.037216888,0.001626968
30/6/2007,-0.0032,0.0296,-0.0066,0.004,0.000687395,-0.013431261,0.013737612,0.030002978,-0.006689853
31/7/2007,-0.0042,0.006,0.0044,0.004,0.000674989,0.033724832,-0.033493038,0.005804253,0.004256452
31/8/2007,-0.038,-0.0335,0.0147,0.0042,0.000606307,0.027541916,-0.060304034,-0.032602076,0.014305986
30/9/2007,0.0141,-0.0274,0.0006,0.0032,0.000578986,0.003981133,0.012687067,-0.02729135,0.000597621
31/10/2007,0.0007,0.0353,-0.0529,0.0032,0.000546687,0.006621074,-0.003249863,0.035067813,-0.052552049
30/11/2007,-0.0229,-0.0151,0.0024,0.0034,0.000521833,0.045591182,-0.062774828,-0.014441591,0.002295352
31/12/2007,-0.0399,-0.0213,0.0216,0.0027,0.000501117,-0.035875818,-0.001874573,-0.02209259,0.022403753
31/1/2008,-0.049,-0.0086,0.0385,0.0021,0.000404101,0.071973263,-0.111296104,-0.008022588,0.035915075
29/2/2008,0.0101,0.0206,-0.0064,0.0013,0.000453865,0.012197446,-0.001241702,0.02035176,-0.006322877
31/3/2008,-0.0371,0.0312,0.017,0.0017,0.000453036,0.056212571,-0.087189905,0.029539508,0.016095245
30/4/2008,0.0622,-0.0642,-0.0129,0.0018,0.000557454,-0.043928022,0.112329466,-0.067149756,-0.013492708
31/5/2008,0.0203,0.0123,0.0118,0.0018,0.000614585,-0.01562944,0.037713908,0.012495294,0.011987356
30/6/2008,-0.0661,0.0119,0.0368,0.0017,0.000576502,-0.006727196,-0.05863991,0.011980596,0.037049237
31/7/2008,-0.0312,-0.0146,0.0231,0.0015,0.000550828,-0.017244568,-0.013224818,-0.014856189,0.023505339
31/8/2008,-0.0436,-0.0287,0.0113,0.0013,0.000497801,-0.011606653,-0.031551579,-0.029037023,0.011432695
